Simulation	B	(B_variance)^(1/2)	Tvalue
578	0.000790019	0.00493943	0.159941
579	-0.000757308	0.00461156	-0.16422
580	0.00073183	0.00559068	0.130902
581	0.00302396	0.00470268	0.64303
582	-0.000776332	0.00465152	-0.166899
583	-0.00125977	0.00479427	-0.262767
584	0.00131645	0.00464291	0.283541
585	0.0017534	0.00482817	0.363159
586	-0.0012219	0.00500356	-0.244207
587	-0.000930706	0.00457804	-0.203298
588	6.43059e-005	0.00423375	0.0151889
589	0.00315215	0.00466928	0.675082
590	-0.0012374	0.00454759	-0.272101
591	-0.000353494	0.00483631	-0.0730917
592	-0.00140848	0.00449256	-0.313513
593	-0.0014067	0.00514379	-0.273475
594	-0.000869211	0.00493693	-0.176063
595	-0.00096961	0.00457727	-0.211831
596	0.00149618	0.00473755	0.315813
597	-0.00122956	0.00494305	-0.248746
598	-0.00035015	0.00499833	-0.0700534
599	0.00223046	0.00479492	0.465171
600	-0.000549547	0.00529681	-0.103751
601	-0.000892561	0.00463931	-0.192391
602	-0.00105771	0.00493943	-0.214136
603	-0.000709447	0.00486362	-0.145868
604	-0.000833622	0.00483948	-0.172255
605	-0.000910054	0.00435254	-0.209086
606	-0.00103658	0.00481202	-0.215414
607	0.00689057	0.0048019	1.43497
608	0.009097	0.00468037	1.94365
609	-0.00117814	0.00452877	-0.260145
610	0.000588927	0.00469895	0.125331
611	-0.00115394	0.00435649	-0.264879
612	-0.000262599	0.00496525	-0.0528873
613	0.0167582	0.0047934	3.49611
614	-0.00145978	0.00518101	-0.281757
615	-0.000794882	0.00449256	-0.176933
616	0.00114688	0.00496281	0.231094
617	-0.00132183	0.00504001	-0.262268
618	-0.000941845	0.00489833	-0.192279
619	-0.000792697	0.00449419	-0.176382
620	-0.00176367	0.00485938	-0.362941
621	0.00104481	0.00499733	0.209073
622	-0.000837786	0.00476182	-0.175938
623	-0.000876139	0.00489833	-0.178865
624	-0.00109402	0.0049035	-0.22311
625	0.00169596	0.00515245	0.329155
626	-0.00117191	0.00482728	-0.242767
627	-0.0015177	0.00466747	-0.325165
628	-0.00094366	0.0046693	-0.202099
629	0.00254038	0.00451875	0.562186
630	-0.00172881	0.00506924	-0.341039
631	-0.000502917	0.00463692	-0.108459
632	-0.000683004	0.00450129	-0.151735
633	0.00745793	0.00534574	1.39512
634	1.05082e-005	0.00493943	0.00212741
635	-0.000405776	0.00502242	-0.0807928
636	-0.00084545	0.00522567	-0.161788
637	-0.00122638	0.00470269	-0.260783
638	-0.00191687	0.00533685	-0.359177
639	7.85381e-005	0.00482953	0.0162621
640	0.00088472	0.00464091	0.190635
641	-0.00216178	0.00507312	-0.426125
642	-0.000757648	0.00466768	-0.162318
643	-0.000809995	0.00492792	-0.164368
644	-0.000420679	0.00440681	-0.0954612
645	-0.000576343	0.00469854	-0.122664
646	-0.000948973	0.00452061	-0.209921
647	0.00491358	0.00504719	0.973526
648	0.000555527	0.00499833	0.111142
649	-0.000142912	0.00479066	-0.0298314
