Simulation	B	(B_variance)^(1/2)	Tvalue
581	-0.00579157	0.00470262	-1.23156
582	0.00136606	0.00465151	0.29368
583	0.00220588	0.00479426	0.460109
584	-0.00215766	0.00464291	-0.464723
585	-0.00342882	0.00482815	-0.710172
586	0.00259629	0.00500355	0.518889
587	0.00113747	0.00457804	0.248463
588	0.00070585	0.00423375	0.16672
589	-0.00720084	0.00466918	-1.54221
590	0.00186772	0.00454759	0.410705
591	0.00126132	0.0048363	0.260804
592	0.0016941	0.00449255	0.377091
593	0.00249639	0.00514378	0.485322
594	0.00145777	0.00493693	0.29528
595	0.00186283	0.00457727	0.406975
596	-0.00289856	0.00473754	-0.611829
597	0.00260111	0.00494304	0.526217
598	0.000635222	0.00499833	0.127087
599	-0.00527392	0.00479487	-1.09991
600	0.000652712	0.00529681	0.123228
601	0.00163232	0.00463931	0.351845
602	0.0022682	0.00493942	0.459203
603	0.00105385	0.00486362	0.216681
604	0.00136513	0.00483948	0.282083
605	0.00204359	0.00435253	0.469517
606	0.00244865	0.00481201	0.508863
607	-0.0116799	0.00480169	-2.43246
608	-0.0158802	0.00467996	-3.39323
609	0.00192825	0.00452876	0.425778
610	-0.00035122	0.00469896	-0.0747443
611	0.00196048	0.00435648	0.450014
612	0.00124278	0.00496525	0.250295
613	-0.0288843	0.00479211	-6.02746
614	0.00262139	0.005181	0.505962
615	0.00222762	0.00449255	0.495847
616	-0.00163377	0.00496281	-0.329203
617	0.00247832	0.00504	0.49173
618	0.00205683	0.00489832	0.419905
619	0.00162924	0.00449419	0.362522
620	0.00215187	0.00485938	0.442827
621	-0.00218567	0.00499733	-0.437369
622	0.0015368	0.00476182	0.322733
623	0.000951029	0.00489833	0.194154
624	0.00239439	0.00490349	0.488302
625	-0.0027983	0.00515244	-0.543102
626	0.00205092	0.00482727	0.42486
627	0.00196757	0.00466747	0.42155
628	0.00154162	0.0046693	0.33016
629	-0.00617084	0.00451867	-1.36563
630	0.00257778	0.00506923	0.508514
631	0.00104286	0.00463692	0.224905
632	0.00173909	0.00450129	0.386355
633	-0.0160485	0.00534532	-3.00234
634	0.000987594	0.00493943	0.199941
635	0.00216023	0.00502241	0.430118
636	0.000611586	0.00522567	0.117035
637	0.00124313	0.00470269	0.264345
638	0.00272825	0.00533684	0.51121
639	-0.00205492	0.00482952	-0.425492
640	-0.00163473	0.00464091	-0.352245
641	0.00223069	0.00507312	0.439708
642	0.00180373	0.00466767	0.386431
643	0.00167272	0.00492792	0.339438
644	0.00187614	0.0044068	0.425738
645	0.00175941	0.00469853	0.37446
646	0.00176864	0.00452061	0.391239
647	-0.00930301	0.00504706	-1.84325
648	-0.000843067	0.00499833	-0.16867
649	0.00162386	0.00479065	0.338965
650	0.00261037	0.00507	0.514865
651	0.00259101	0.00493942	0.524558
652	0.00095011	0.00490068	0.193873
653	0.00204879	0.00482727	0.42442
